idx,modelA,modelB,result
0,skywork-o1,marco-o1,2
0,qwq_preview,openO1,0
0,openai_o1,qwq_preview,2
0,marco-o1,openO1,0
0,skywork-o1,qwq_preview,2
0,openai_o1,openO1,2
0,qwq_preview,marco-o1,0
0,skywork-o1,openO1,0
0,skywork-o1,openai_o1,1
0,openai_o1,marco-o1,2
1,skywork-o1,marco-o1,2
1,marco-o1,openO1,2
1,openai_o1,openO1,2
1,openai_o1,qwq_preview,2
1,skywork-o1,openai_o1,2
1,skywork-o1,openO1,2
1,skywork-o1,qwq_preview,2
1,qwq_preview,marco-o1,1
1,qwq_preview,openO1,1
1,openai_o1,marco-o1,1
2,openai_o1,qwq_preview,2
2,skywork-o1,qwq_preview,2
2,openai_o1,marco-o1,2
2,skywork-o1,openai_o1,2
2,qwq_preview,marco-o1,0
2,skywork-o1,marco-o1,2
2,skywork-o1,openO1,2
2,openai_o1,openO1,2
2,marco-o1,openO1,1
2,qwq_preview,openO1,1
3,openai_o1,marco-o1,1
3,openai_o1,qwq_preview,2
3,skywork-o1,qwq_preview,2
3,skywork-o1,marco-o1,0
3,marco-o1,openO1,2
3,openai_o1,openO1,2
3,qwq_preview,marco-o1,1
3,skywork-o1,openai_o1,2
3,skywork-o1,openO1,2
3,qwq_preview,openO1,0
4,skywork-o1,openO1,2
4,qwq_preview,openO1,0
4,openai_o1,qwq_preview,0
4,marco-o1,openO1,0
4,skywork-o1,marco-o1,2
4,openai_o1,openO1,0
4,skywork-o1,openai_o1,2
4,skywork-o1,qwq_preview,2
4,openai_o1,marco-o1,0
4,qwq_preview,marco-o1,2
5,marco-o1,openO1,1
5,openai_o1,marco-o1,0
5,skywork-o1,marco-o1,2
5,openai_o1,qwq_preview,1
5,qwq_preview,marco-o1,2
5,skywork-o1,qwq_preview,2
5,skywork-o1,openai_o1,2
5,qwq_preview,openO1,0
5,openai_o1,openO1,2
5,skywork-o1,openO1,2
6,qwq_preview,openO1,1
6,skywork-o1,qwq_preview,2
6,qwq_preview,marco-o1,1
6,skywork-o1,openai_o1,2
6,openai_o1,openO1,1
6,openai_o1,marco-o1,1
6,skywork-o1,marco-o1,2
6,openai_o1,qwq_preview,2
6,skywork-o1,openO1,0
6,marco-o1,openO1,1
7,qwq_preview,openO1,1
7,openai_o1,marco-o1,2
7,skywork-o1,openai_o1,2
7,skywork-o1,marco-o1,2
7,skywork-o1,qwq_preview,2
7,marco-o1,openO1,0
7,qwq_preview,marco-o1,1
7,skywork-o1,openO1,2
7,openai_o1,openO1,2
7,openai_o1,qwq_preview,2
8,qwq_preview,openO1,0
8,openai_o1,openO1,2
8,marco-o1,openO1,2
8,skywork-o1,openai_o1,2
8,skywork-o1,marco-o1,2
8,openai_o1,marco-o1,2
8,qwq_preview,marco-o1,2
8,skywork-o1,qwq_preview,2
8,openai_o1,qwq_preview,2
8,skywork-o1,openO1,2
9,qwq_preview,openO1,1
9,openai_o1,qwq_preview,0
9,qwq_preview,marco-o1,2
9,skywork-o1,marco-o1,2
9,skywork-o1,qwq_preview,2
9,marco-o1,openO1,0
9,skywork-o1,openO1,2
9,skywork-o1,openai_o1,2
9,openai_o1,openO1,0
9,openai_o1,marco-o1,0
10,qwq_preview,openO1,0
10,skywork-o1,marco-o1,2
10,openai_o1,marco-o1,1
10,openai_o1,openO1,0
10,skywork-o1,openO1,2
10,skywork-o1,qwq_preview,2
10,skywork-o1,openai_o1,2
10,qwq_preview,marco-o1,0
10,openai_o1,qwq_preview,1
10,marco-o1,openO1,0
11,qwq_preview,marco-o1,1
11,qwq_preview,openO1,0
11,skywork-o1,marco-o1,1
11,openai_o1,openO1,2
11,openai_o1,qwq_preview,2
11,openai_o1,marco-o1,1
11,skywork-o1,qwq_preview,2
11,skywork-o1,openO1,2
11,skywork-o1,openai_o1,2
11,marco-o1,openO1,2
12,openai_o1,marco-o1,2
12,qwq_preview,openO1,2
12,qwq_preview,marco-o1,2
12,skywork-o1,openai_o1,2
12,openai_o1,qwq_preview,0
12,marco-o1,openO1,0
12,skywork-o1,openO1,2
12,skywork-o1,marco-o1,2
12,skywork-o1,qwq_preview,2
12,openai_o1,openO1,0
13,skywork-o1,openO1,2
13,openai_o1,marco-o1,2
13,openai_o1,openO1,2
13,skywork-o1,qwq_preview,2
13,openai_o1,qwq_preview,1
13,qwq_preview,marco-o1,2
13,qwq_preview,openO1,0
13,marco-o1,openO1,0
13,skywork-o1,openai_o1,2
13,skywork-o1,marco-o1,2
14,skywork-o1,openO1,2
14,marco-o1,openO1,0
14,skywork-o1,openai_o1,0
14,openai_o1,marco-o1,0
14,openai_o1,qwq_preview,2
14,skywork-o1,marco-o1,2
14,skywork-o1,qwq_preview,2
14,qwq_preview,marco-o1,2
14,openai_o1,openO1,2
14,qwq_preview,openO1,0
15,skywork-o1,marco-o1,2
15,openai_o1,openO1,2
15,skywork-o1,qwq_preview,2
15,skywork-o1,openO1,2
15,qwq_preview,marco-o1,2
15,skywork-o1,openai_o1,2
15,marco-o1,openO1,2
15,openai_o1,qwq_preview,2
15,openai_o1,marco-o1,2
15,qwq_preview,openO1,0
16,openai_o1,openO1,2
16,skywork-o1,marco-o1,2
16,skywork-o1,openai_o1,2
16,qwq_preview,marco-o1,1
16,qwq_preview,openO1,2
16,openai_o1,qwq_preview,2
16,skywork-o1,openO1,2
16,skywork-o1,qwq_preview,2
16,openai_o1,marco-o1,2
16,marco-o1,openO1,0
17,qwq_preview,marco-o1,0
17,skywork-o1,marco-o1,2
17,openai_o1,marco-o1,0
17,skywork-o1,openO1,2
17,openai_o1,qwq_preview,0
17,skywork-o1,openai_o1,2
17,marco-o1,openO1,2
17,qwq_preview,openO1,2
17,openai_o1,openO1,2
17,skywork-o1,qwq_preview,2
18,qwq_preview,marco-o1,0
18,marco-o1,openO1,0
18,skywork-o1,openai_o1,2
18,openai_o1,qwq_preview,2
18,skywork-o1,marco-o1,2
18,skywork-o1,qwq_preview,2
18,openai_o1,openO1,2
18,openai_o1,marco-o1,2
18,qwq_preview,openO1,0
18,skywork-o1,openO1,2
19,skywork-o1,qwq_preview,2
19,qwq_preview,marco-o1,0
19,marco-o1,openO1,0
19,openai_o1,openO1,0
19,qwq_preview,openO1,2
19,openai_o1,qwq_preview,0
19,skywork-o1,openO1,2
19,skywork-o1,openai_o1,2
19,skywork-o1,marco-o1,2
19,openai_o1,marco-o1,2
